ID,mox,mox_FDR,moxYG,moxYG_FDR,logCPM
YAL001C,0.785270711,0.071535518,0.02491974,1,2.815848288
YAL002W,0.150337651,0.749985045,0.925536893,0.003540935,5.03654333
YAL003W,0.393266802,0.468343078,0.181488463,0.795321547,9.048833554
YAL004W,-6.843172835,0.001587999,-6.63614161,0.0024601,-2.991071454
YAL005C,-0.178645302,0.725097599,0.249638296,0.614465684,9.726933632
YAL007C,0.481711637,0.300367191,0.575690541,0.193541742,6.433209237
YAL008W,-0.545186441,0.167985761,-0.132912606,0.821750982,4.141146527
YAL009W,-0.036329141,0.978600982,-0.066433703,0.926555422,4.018197654
YAL010C,0.292290202,0.563582651,0.2619159,0.63241553,2.721713216
YAL011W,0.015341103,1,0.09602527,0.903527906,2.774967518
YAL012W,-0.379924343,0.391344792,-0.17897636,0.742038629,9.987047258
YAL013W,-0.313904774,0.521107642,-0.133556925,0.840147805,3.254569818
YAL014C,-0.205908862,0.612383885,0.176839683,0.690411641,5.002708858
YAL015C,-0.459211973,0.170647375,-0.873200966,0.002712092,3.309576181
YAL016C-A,0.108465076,0.905660427,0.230225173,0.736472218,2.618748609
YAL016C-B,0.472624363,0.707641129,0.414327831,0.770804037,-0.773199115
YAL016W,-0.311918828,0.436663752,0.205001493,0.659038268,6.15335706
YAL017W,0.345126967,0.457309037,1.056833089,0.003917333,5.628391693
YAL018C,-0.288055923,0.721629089,-2.358962076,0.000195487,-1.053703688
YAL019W,1.201345026,0.000906633,0.37290117,0.42335375,3.131322463
YAL019W-A,0.228430811,0.784977773,-0.530609312,0.424639885,0.859830002
YAL020C,-1.103337602,0.037812644,-0.569694734,0.343433127,5.739562453
YAL021C,0.019546283,1,0.146526578,0.82225232,6.561949859
YAL022C,-0.491626568,0.325387636,-0.24144618,0.69306645,7.569172016
YAL023C,0.123912611,0.87240026,-0.023784572,1,9.261733831
YAL024C,0.456675529,0.373101756,0.065846314,0.960959511,2.091142717
YAL025C,0.728423492,0.177981995,-0.242227263,0.737188227,3.855511178
YAL026C,0.616793596,0.113795943,0.554952183,0.152154717,5.099944613
YAL026C-A,-0.443772781,0.824824018,-0.084093512,1,0.652363032
YAL027W,0.211048468,0.739884317,-0.405091891,0.489866279,2.094060459
YAL028W,0.011941586,1,0.054975065,0.978674155,1.962289301
YAL029C,-0.044945433,0.971257045,-0.273221768,0.548519006,4.851270397
YAL030W,-0.988307413,0.00529039,-0.68597266,0.065344343,4.832132816
YAL031C,0.050932971,0.968735745,0.381110868,0.389150198,3.508106432
YAL031W-A,-0.142812677,0.881536967,0.107327601,0.954849017,0.065711326
YAL032C,-0.054574364,0.965227089,-0.39319994,0.428886367,2.602877133
YAL033W,-0.108242796,0.834739799,-0.427660534,0.243517744,3.651259296
YAL034C,0.579140662,0.087700518,1.0692543,0.000302392,4.044985118
YAL034C-B,0.76176339,0.314027168,0.246368527,0.841874905,-1.608623529
YAL034W-A,0.245697608,0.699514553,-0.224954933,0.760998042,1.123810943
YAL035W,-0.001882921,1,-0.02903067,1,5.841506151
YAL036C,0.628596201,0.113795943,0.231662382,0.651855439,5.431332877
YAL037C-A,-0.215496034,0.86652559,0.143478116,0.936540643,0.979448863
YAL037C-B,-0.466611306,0.457828158,0.16790291,0.851082038,9.115005178
YAL037W,-0.733844738,0.089432362,0.034248407,1,1.820662031
YAL038W,-0.440141997,0.28233408,0.175273903,0.736472218,12.93601116
YAL039C,-0.374214065,0.382223302,0.010268617,1,4.296147099
YAL040C,0.969216767,0.003672908,1.433229258,5.01E-06,6.413487895
YAL041W,0.748734643,0.035660213,0.954203007,0.004180698,4.378187489
YAL042C-A,-0.200886234,0.762741884,-0.208169994,0.76437972,5.320738089
YAL042W,-0.335009222,0.543293714,-0.073787641,0.951548106,8.890336156
YAL043C,-0.366373582,0.512422625,-0.030901096,1,5.985063652
YAL044C,-1.462053672,0.001349997,-0.299799171,0.651280452,6.799159021
YAL044W-A,-0.201821432,0.610877455,0.155834804,0.728400691,3.915400502
YAL045C,-0.931598268,0.02242797,-0.449099034,0.338019468,3.399938625
YAL046C,-0.283224783,0.513594443,-0.162942486,0.751316693,4.431253814
YAL047C,0.233952048,0.654209575,-0.527377071,0.231993929,2.032476533
YAL047W-A,-2.250583115,0.001349997,-1.52800757,0.038822831,-1.882838769
YAL048C,0.133719276,0.818194337,0.402548371,0.363879237,3.527353315
YAL049C,-0.394961419,0.31704377,0.252778709,0.569706752,4.50567457
YAL051W,0.309401917,0.429252796,0.475424856,0.180454567,3.493321741
YAL053W,0.652930315,0.098558084,0.897722141,0.012533593,8.558581643
YAL054C,-0.2567337,0.663919247,0.144829788,0.848043287,6.638438252
YAL055W,-0.325443602,0.520518022,-0.381361145,0.446499864,2.054397011
YAL056C-A,-0.507576751,0.426918189,-0.089555913,0.951229586,0.284037993
YAL056W,0.091948383,0.868814813,0.332408669,0.392539002,4.385264003
YAL058W,-0.324501393,0.545928537,-0.288869812,0.618780405,5.20431043
YAL059C-A,-1.776564468,0.055082406,-4.063670126,4.79E-05,-1.491342521
YAL059W,0.697099157,0.117878968,-0.068079481,0.956825949,4.257897184
YAL060W,-1.138049393,0.058602477,-0.256850853,0.762344498,7.739404533
YAL061W,-0.641971866,0.200137126,0.129871697,0.877785207,5.220949571
YAL062W,-0.733721139,0.191896107,-0.36556262,0.585479788,5.586080367
YAL063C,-0.045786384,0.968278174,0.013946182,1,3.802320192
YAL063C-A,-1.010568401,0.113969047,-0.632658013,0.36482346,0.54661983
YAL064C-A,-0.599391827,0.503001359,-0.390952053,0.727117362,-0.695060602
YAL064W,-0.968034483,0.267610632,-1.106702044,0.197703568,-2.204158957
YAL064W-B,-0.690070869,0.378164015,-1.232446956,0.098491271,-1.286669221
YAL065C,0.024912678,1,-0.203607066,0.826470594,-0.630451273
YAL066W,0.111385954,1,0.113368413,1,-2.404955628
YAL067C,0.44742785,0.294280709,-0.496014283,0.243517744,3.046682021
YAL067W-A,-1.83597096,1,-1.688041877,1,-4.701658832
YAL068C,-4.010972253,0.238168385,-0.915811734,0.882037678,-4.257446709
YAL068W-A,-1.847436869,1,-1.699455914,1,-4.70021135
YAL069W,0,1,0,1,-4.776081025
YAR002C-A,-0.505986359,0.221659621,-0.512948327,0.210063505,9.192900876
YAR002W,0.193934079,0.661405941,-0.51419858,0.14886981,4.155266615
YAR003W,-0.326112734,0.411328331,-0.127921716,0.811955716,5.003572939
YAR007C,-0.058991003,0.943175594,-0.345348959,0.39732051,4.075172087
YAR008W,0.051829929,0.974299306,-0.492366721,0.322569891,2.279760845
YAR009C,-0.169453928,0.717245005,-0.557418043,0.113767107,5.221622486
YAR010C,0.223074881,0.641394886,0.374915219,0.380910013,4.050182201
YAR014C,0.490925893,0.129077832,-0.08158694,0.888649436,3.893792924
YAR015W,-1.906599947,6.77E-07,-0.523816512,0.276738595,6.924964692
YAR018C,-0.554303431,0.098782908,-0.748489338,0.01561028,3.250386962
YAR019C,0.51908761,0.14207691,0.855534272,0.006182406,3.946808356
YAR019W-A,0.246098957,0.861032828,-0.118983511,1,-3.008158565
YAR020C,-0.301014026,0.706127406,0.044679954,1,0.181937145
YAR023C,-0.196427594,0.851578034,0.014460695,1,0.67352958
YAR027W,-0.031096531,0.99030783,0.260217221,0.52986818,5.661892801
YAR028W,-0.348721124,0.326200375,-0.229442511,0.568965678,3.701770839
YAR029W,0.335508119,0.570214165,0.870865132,0.066173272,0.899032472
YAR030C,0.022139849,1,0.225672575,0.788343451,1.139939212
YAR031W,0.110743503,0.807148113,0.33783671,0.329802642,3.806746821
YAR033W,-0.234584709,0.54494938,-0.068760057,0.917217691,4.072800036
YAR035C-A,-0.235028197,0.857665406,0.431887087,0.749839823,-1.823626598
YAR035W,-0.335796176,0.58269561,0.107354054,0.917395418,4.613088282
YAR042W,0.623966153,0.115655601,0.193365602,0.723598675,3.220143434
YAR047C,0.736872137,0.328064147,1.080382343,0.108399924,-0.373130892
YAR050W,-1.168710266,0.003672908,-0.83889093,0.045360824,4.617747093
YAR053W,0.757098607,0.150649352,0.719193585,0.167375276,0.635964763
YAR060C,-0.668200674,0.462789379,-0.858251277,0.376588978,-2.038321896
YAR061W,-0.550079393,0.65404758,0.063683056,1,-2.460527343
YAR062W,-0.569418493,0.40236128,-0.50762186,0.50958335,-0.955095825
YAR064W,-0.871873131,0.244974527,-1.119808339,0.125872366,-1.259365775
YAR066W,0.330786534,0.577636408,0.17794947,0.816811264,3.184383741
YAR068W,0.198318478,0.731582043,0.598205812,0.181992989,2.882049149
YAR069C,-3.185697744,8.61E-09,-2.329335626,2.84E-05,0.751608725
YAR070C,-3.95084793,1.87E-09,-3.129039605,1.49E-06,0.348719517
YAR071W,-4.565560311,2.93E-30,-4.201173646,2.67E-26,6.009171126
YAR073W,-0.746091264,0.187397761,-0.265732429,0.728400691,1.118813516
YAR075W,0.074434955,0.978761815,0.596764106,0.532317064,-0.533571181
YBL001C,0.533810618,0.167410027,0.105296872,0.869484037,5.882276451
YBL002W,0.766648818,0.05390912,0.637153882,0.110856151,8.785716649
YBL003C,0.248457816,0.712546538,-0.658846633,0.221228321,6.325758466
