ID,Gene_name,Vec_1,Vec_2,Vec_3,moxYG_1,moxYG_2,moxYG_3
moxYG,moxYG,0,0,0,51300000000,55400000000,48300000000
YPR080W,TEF1,2710000000,2560000000,2800000000,2010000000,1960000000,2120000000
YCR012W,PGK1,2080000000,2200000000,1970000000,1990000000,1990000000,1930000000
YLR044C,PDC1,2560000000,2470000000,2480000000,1720000000,1760000000,1920000000
YAL038W,CDC19,2100000000,2080000000,1880000000,1730000000,1640000000,1600000000
YLR109W,AHP1,977000000,1020000000,878000000,1470000000,1360000000,1290000000
YKL060C,FBA1,1430000000,1500000000,1320000000,1210000000,1210000000,1260000000
YLR340W,RPP0,811000000,851000000,721000000,1200000000,1190000000,1100000000
YHR174W,ENO2,1800000000,1870000000,1660000000,1060000000,1080000000,1070000000
YKR059W,TIF1,798000000,785000000,731000000,969000000,913000000,912000000
YNL178W,RPS3,909000000,928000000,838000000,949000000,908000000,867000000
YLR355C,ILV5,702000000,698000000,626000000,886000000,802000000,826000000
YDR155C,CPR1,511000000,583000000,471000000,947000000,929000000,825000000
YDR450W,RPS18A,697000000,713000000,617000000,810000000,762000000,755000000
YOL086C,ADH1,1470000000,1370000000,1380000000,784000000,747000000,752000000
YOL039W,RPP2A,429000000,470000000,402000000,727000000,795000000,715000000
YKL152C,GPM1,1200000000,1240000000,1180000000,657000000,630000000,684000000
YEL054C,RPL12A,494000000,535000000,443000000,766000000,754000000,680000000
YOR133W,EFT1,718000000,736000000,687000000,709000000,721000000,680000000
YOR369C,RPS12,422000000,481000000,420000000,707000000,751000000,672000000
YGL008C,PMA1,551000000,516000000,553000000,626000000,646000000,660000000
YDR382W,RPP2B,545000000,522000000,494000000,819000000,828000000,641000000
YAL005C,SSA1,597000000,638000000,525000000,647000000,661000000,640000000
YLR406C,RPL31B,809000000,749000000,805000000,562000000,600000000,627000000
YNL209W,SSB2,609000000,610000000,556000000,615000000,624000000,627000000
YDR064W,RPS13,821000000,798000000,769000000,574000000,607000000,622000000
YPL131W,RPL5,443000000,437000000,436000000,624000000,602000000,617000000
YDR050C,TPI1,853000000,924000000,842000000,677000000,661000000,609000000
YMR242C,RPL20A,640000000,603000000,642000000,456000000,465000000,497000000
YFL014W,HSP12,21900000,30700000,15700000,437000000,459000000,468000000
YOL121C,RPS19A,571000000,567000000,527000000,493000000,453000000,449000000
YLL050C,COF1,307000000,337000000,329000000,495000000,443000000,443000000
YLR333C,RPS25B,493000000,509000000,470000000,436000000,412000000,440000000
YKL056C,TMA19,406000000,428000000,350000000,543000000,522000000,425000000
YGL009C,LEU1,270000000,333000000,260000000,409000000,390000000,417000000
YNL135C,FPR1,235000000,241000000,226000000,454000000,452000000,415000000
YJR145C,RPS4A,423000000,447000000,389000000,418000000,408000000,406000000
YCR031C,RPS14A,451000000,457000000,429000000,443000000,380000000,395000000
YNL055C,POR1,195000000,192000000,183000000,404000000,364000000,384000000
YGL076C,RPL7A,408000000,406000000,419000000,346000000,357000000,357000000
YJL052W,TDH1,278000000,363000000,248000000,355000000,360000000,354000000
YOL040C,RPS15,358000000,350000000,306000000,268000000,249000000,335000000
YEL034W,HYP2,328000000,342000000,312000000,327000000,337000000,334000000
YOR096W,RPS7A,270000000,302000000,245000000,333000000,324000000,330000000
YDR099W,BMH2,206000000,216000000,205000000,336000000,347000000,326000000
YMR186W,HSC82,492000000,468000000,477000000,300000000,313000000,325000000
YGL030W,RPL30,401000000,346000000,390000000,297000000,310000000,318000000
YMR142C,RPL13B,419000000,419000000,394000000,309000000,286000000,317000000
YGL147C,RPL9A,408000000,393000000,419000000,290000000,292000000,306000000
YER091C,MET6,470000000,530000000,458000000,297000000,297000000,302000000
YKL006W,RPL14A,446000000,390000000,398000000,270000000,266000000,298000000
YLR167W,RPS31,167000000,181000000,182000000,303000000,292000000,298000000
YPL220W,RPL1A,399000000,374000000,364000000,291000000,222000000,293000000
YJR123W,RPS5,324000000,324000000,298000000,285000000,280000000,284000000
YDR025W,RPS11A,416000000,384000000,430000000,256000000,274000000,282000000
YAL003W,EFB1,243000000,269000000,218000000,313000000,305000000,281000000
YBL072C,RPS8A,327000000,311000000,345000000,259000000,276000000,279000000
YOL109W,ZEO1,259000000,249000000,232000000,265000000,271000000,278000000
