Level 1,Level 2,Level 3,KO,ID
Metabolism,Biosynthesis,Amino acid metabolism,K00813,YKL106W
Metabolism,Biosynthesis,Amino acid metabolism,K00813,YLR027C
Metabolism,Biosynthesis,Amino acid metabolism,K08967,YMR009W
Metabolism,Biosynthesis,Amino acid metabolism,K00959,YCL050C
Metabolism,Biosynthesis,Amino acid metabolism,K01940,YOL058W
Metabolism,Biosynthesis,Amino acid metabolism,K00618,YJL071W
Metabolism,Biosynthesis,Amino acid metabolism,K00611,YJL088W
Metabolism,Biosynthesis,Amino acid metabolism,K01755,YHR018C
Metabolism,Biosynthesis,Amino acid metabolism,K12659,YER069W
Metabolism,Biosynthesis,Amino acid metabolism,K00620,YMR062C
Metabolism,Biosynthesis,Amino acid metabolism,K00818,YOL140W
Metabolism,Biosynthesis,Amino acid metabolism,K13830,YDR127W
Metabolism,Biosynthesis,Amino acid metabolism,K12732,YDR380W
Metabolism,Biosynthesis,Amino acid metabolism,K01736,YGL148W
Metabolism,Biosynthesis,Amino acid metabolism,K01626,YDR035W
Metabolism,Biosynthesis,Amino acid metabolism,K01626,YBR249C
Metabolism,Biosynthesis,Amino acid metabolism,K01850,YPR060C
Metabolism,Biosynthesis,Amino acid metabolism,K00838,YGL202W
Metabolism,Biosynthesis,Amino acid metabolism,K05821,YHR137W
Metabolism,Biosynthesis,Amino acid metabolism,K01424,YDR321W
Metabolism,Biosynthesis,Amino acid metabolism,K01424,YLR155C
Metabolism,Biosynthesis,Amino acid metabolism,K01424,YLR157C
Metabolism,Biosynthesis,Amino acid metabolism,K01424,YLR158C
Metabolism,Biosynthesis,Amino acid metabolism,K01424,YLR160C
Metabolism,Biosynthesis,Amino acid metabolism,K00826,YHR208W
Metabolism,Biosynthesis,Amino acid metabolism,K00826,YJR148W
Metabolism,Biosynthesis,Amino acid metabolism,K00833,YNR058W
Metabolism,Biosynthesis,Amino acid metabolism,K00452,YJR025C
Metabolism,Biosynthesis,Amino acid metabolism,K00463,YJR078W
Metabolism,Biosynthesis,Amino acid metabolism,K14264,YJL060W
Metabolism,Biosynthesis,Amino acid metabolism,K00486,YBL098W
Metabolism,Biosynthesis,Amino acid metabolism,K01556,YLR231C
Metabolism,Biosynthesis,Amino acid metabolism,K01476,YPL111W
Metabolism,Biosynthesis,Amino acid metabolism,K00819,YLR438W
Metabolism,Biosynthesis,Amino acid metabolism,K01752,YCL064C
Metabolism,Biosynthesis,Amino acid metabolism,K01758,YAL012W
Metabolism,Biosynthesis,Amino acid metabolism,K01697,YGR155W
Metabolism,Biosynthesis,Amino acid metabolism,K01457,YBR208C
Metabolism,Biosynthesis,Amino acid metabolism,K05605,YDR036C
Metabolism,Biosynthesis,Amino acid metabolism,K13367,YMR020W
Metabolism,Biosynthesis,Amino acid metabolism,K01580,YMR250W
Metabolism,Biosynthesis,Amino acid metabolism,K00281,YMR189W
Metabolism,Biosynthesis,Amino acid metabolism,sce_YAL044C,YAL044C
Metabolism,Biosynthesis,Amino acid metabolism,K00262,YOR375C
Metabolism,Biosynthesis,Amino acid metabolism,K00260,YDL215C
Metabolism,Biosynthesis,Amino acid metabolism,K00262,YAL062W
Metabolism,Biosynthesis,Amino acid metabolism,K01915,YPR035W
Metabolism,Biosynthesis,Amino acid metabolism,K00383,YPL091W
Metabolism,Biosynthesis,Amino acid metabolism,K00264,YDL171C
Metabolism,Biosynthesis,Amino acid metabolism,K01620,YEL046C
Metabolism,Biosynthesis,Amino acid metabolism,K11204,YJL101C
Metabolism,Biosynthesis,Amino acid metabolism,K01920,YOL049W
Metabolism,Biosynthesis,Amino acid metabolism,K00643,YDR232W
Metabolism,Biosynthesis,Amino acid metabolism,K00765,YER055C
Metabolism,Biosynthesis,Amino acid metabolism,K04486,YFR025C
Metabolism,Biosynthesis,Amino acid metabolism,K01693,YOR202W
Metabolism,Biosynthesis,Amino acid metabolism,K14152,YCL030C
Metabolism,Biosynthesis,Amino acid metabolism,K00817,YIL116W
Metabolism,Biosynthesis,Amino acid metabolism,K01814,YIL020C
Metabolism,Biosynthesis,Amino acid metabolism,K01663,YBR248C
Metabolism,Biosynthesis,Amino acid metabolism,K00133,YDR158W
Metabolism,Biosynthesis,Amino acid metabolism,K00928,YER052C
Metabolism,Biosynthesis,Amino acid metabolism,K00003,YJR139C
Metabolism,Biosynthesis,Amino acid metabolism,K01423,YER078C
Metabolism,Biosynthesis,Amino acid metabolism,K01754,YER086W
Metabolism,Biosynthesis,Amino acid metabolism,K01652,YMR108W
Metabolism,Biosynthesis,Amino acid metabolism,K01687,YJR016C
Metabolism,Biosynthesis,Amino acid metabolism,K00053,YLR355C
Metabolism,Biosynthesis,Amino acid metabolism,K01653,YCL009C
Metabolism,Biosynthesis,Amino acid metabolism,K01760,YFR055W
Metabolism,Biosynthesis,Amino acid metabolism,K01702,YGL009C
Metabolism,Biosynthesis,Amino acid metabolism,K00052,YCL018W
Metabolism,Biosynthesis,Amino acid metabolism,K01649,YNL104C
Metabolism,Biosynthesis,Amino acid metabolism,K00290,YIR034C
Metabolism,Biosynthesis,Amino acid metabolism,K05824,YIL094C
Metabolism,Biosynthesis,Amino acid metabolism,K00143,YBR115C
Metabolism,Biosynthesis,Amino acid metabolism,K01705,YDR234W
Metabolism,Biosynthesis,Amino acid metabolism,K00293,YNR050C
Metabolism,Biosynthesis,Amino acid metabolism,K01738,YGR012W
Metabolism,Biosynthesis,Amino acid metabolism,K08964,YJR024C
Metabolism,Biosynthesis,Amino acid metabolism,K00380,YFR030W
Metabolism,Biosynthesis,Amino acid metabolism,K00390,YPR167C
Metabolism,Biosynthesis,Amino acid metabolism,K01738,YLR303W
Metabolism,Biosynthesis,Amino acid metabolism,K00641,YNL277W
Metabolism,Biosynthesis,Amino acid metabolism,K01082,YOL064C
Metabolism,Biosynthesis,Amino acid metabolism,K00381,YJR137C
Metabolism,Biosynthesis,Amino acid metabolism,K00549,YER091C
Metabolism,Biosynthesis,Amino acid metabolism,K00772,YLR017W
Metabolism,Biosynthesis,Amino acid metabolism,sce_YIL051C,YIL051C
Metabolism,Biosynthesis,Amino acid metabolism,K08963,YPR118W
Metabolism,Biosynthesis,Amino acid metabolism,K00599,YOR201C
Metabolism,Biosynthesis,Amino acid metabolism,K01469,YKL215C
Metabolism,Biosynthesis,Amino acid metabolism,K01918,YIL145C
Metabolism,Biosynthesis,Amino acid metabolism,K04103,YLR134W
Metabolism,Biosynthesis,Amino acid metabolism,K14170,YNL316C
Metabolism,Biosynthesis,Amino acid metabolism,K00931,YDR300C
Metabolism,Biosynthesis,Amino acid metabolism,K00147,YOR323C
Metabolism,Biosynthesis,Amino acid metabolism,K00286,YER023W
Metabolism,Biosynthesis,Amino acid metabolism,K00318,YLR142W
Metabolism,Biosynthesis,Amino acid metabolism,K00294,YHR037W
Metabolism,Biosynthesis,Amino acid metabolism,K00599,YDR465C
